text,labels
= L times U.,gauss elim
x + 2y = 3,gauss elim
4x + 5y = 6,gauss elim
"One solution (x, y) = (−1, 2)",gauss elim
x + 2y = 3,gauss elim
4x + 8y = 6,gauss elim
x + 2y = 3,gauss elim
4x + 8y = 12,gauss elim
Whole line of solutions,gauss elim
Figure 1.1: The example has one solution. Singular cases have none or too many.,gauss elim
First we have to introduce matrices and vectors and the rules for multiplication.,gauss elim
Every matrix has a transpose AT. This matrix has an inverse A−1.,gauss elim
3. In most cases elimination goes forward without difﬁculties. The matrix has an,gauss elim
inverse and the system Ax = b has one solution. In exceptional cases the method,gauss elim
"will break down—either the equations were written in the wrong order, which is",gauss elim
"easily ﬁxed by exchanging them, or the equations don’t have a unique solution.",gauss elim
That singular case will appear if 8 replaces 5 in our example:,gauss elim
1x + 2y =,gauss elim
4x + 8y = 6.,gauss elim
Elimination still innocently subtracts 4 times the ﬁrst equation from the second. But,gauss elim
look at the result!,gauss elim
This singular case has no solution. Other singular cases have inﬁnitely many solu-,gauss elim
"tions. (Change 6 to 12 in the example, and elimination will lead to 0 = 0. Now y",gauss elim
"can have any value,) When elimination breaks down, we want to ﬁnd every possible",gauss elim
4. We need a rough count of the number of elimination steps required to solve a sys-,gauss elim
tem of size n. The computing cost often determines the accuracy in the model. A,gauss elim
hundred equations require a third of a million steps (multiplications and subtrac-,gauss elim
"tions). The computer can do those quickly, but not many trillions. And already",gauss elim
"after a million steps, roundoff error could be signiﬁcant. (Some problems are sen-",gauss elim
"sitive; others are not.) Without trying for full detail, we want to see large systems",gauss elim
"that arise in practice, and how they are actually solved.",gauss elim
The ﬁnal result of this chapter will be an elimination algorithm that is about as efﬁ-,gauss elim
cient as possible. It is essentially the algorithm that is in constant use in a tremendous,gauss elim
"variety of applications. And at the same time, understanding it in terms of matrices—the",gauss elim
"coefﬁcient matrix A, the matrices E for elimination and P for row exchanges, and the",gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
ﬁnal factors L and U—is an essential foundation for the theory. I hope you will enjoy,gauss elim
this book and this course.,gauss elim
The Geometry of Linear Equations,gauss elim
The way to understand this subject is by example. We begin with two extremely humble,gauss elim
"equations, recognizing that you could solve them without a course in linear algebra.",gauss elim
Nevertheless I hope you will give Gauss a chance:,gauss elim
2x − y =,gauss elim
x + y = 5.,gauss elim
We can look at that system by rows or by columns. We want to see them both.,gauss elim
The ﬁrst approach concentrates on the separate equations (the rows). That is the,gauss elim
"most familiar, and in two dimensions we can do it quickly. The equation 2x − y = 1 is",gauss elim
"represented by a straight line in the x-y plane. The line goes through the points x = 1,",gauss elim
y = 1 and x = 1,gauss elim
"2, y = 0 (and also through (2,3) and all intermediate points). The second",gauss elim
equation x+y = 5 produces a second line (Figure 1.2a). Its slope is dy/dx = −1 and it,gauss elim
crosses the ﬁrst line at the solution.,gauss elim
The point of intersection lies on both lines. It is the only solution to both equations.,gauss elim
That point x = 2 and y = 3 will soon be found by “elimination.”,gauss elim
x + y = 5,gauss elim
2x − y = 1,gauss elim
"(x, y) = (2, 3)",gauss elim
"(a) Lines meet at x = 2, y = 3",gauss elim
"(2, 1) = column 1",gauss elim
(b) Columns combine with 2 and 3,gauss elim
Figure 1.2: Row picture (two lines) and column picture (combine columns).,gauss elim
The second approach looks at the columns of the linear system. The two separate,gauss elim
equations are really one vector equation:,gauss elim
1.2 The Geometry of Linear Equations,gauss elim
The problem is to ﬁnd the combination of the column vectors on the left side that,gauss elim
"produces the vector on the right side. Those vectors (2,1) and (−1,1) are represented",gauss elim
by the bold lines in Figure 1.2b. The unknowns are the numbers x and y that multiply,gauss elim
"the column vectors. The whole idea can be seen in that ﬁgure, where 2 times column",gauss elim
1 is added to 3 times column 2. Geometrically this produces a famous parallelogram.,gauss elim
"Algebraically it produces the correct vector (1,5), on the right side of our equations.",gauss elim
The column picture conﬁrms that x = 2 and y = 3.,gauss elim
"More time could be spent on that example, but I would rather move forward to n = 3.",gauss elim
"Three equations are still manageable, and they have much more variety:",gauss elim
−2u + 7v + 2w =,gauss elim
"Again we can study the rows or the columns, and we start with the rows. Each equation",gauss elim
"describes a plane in three dimensions. The ﬁrst plane is 2u+v+w = 5, and it is sketched",gauss elim
in Figure 1.3. It contains the points (5,gauss elim
"2,0,0) and (0,5,0) and (0,0,5). It is determined",gauss elim
by any three of its points—provided they do not lie on a line.,gauss elim
"b(1, 1, 2) = point of intersection",gauss elim
with third plane = solution,gauss elim
4u − 6v = −2 (vertical plane),gauss elim
line of intersection: ﬁrst two planes,gauss elim
2u + v + w = 5 (sloping plane),gauss elim
Figure 1.3: The row picture: three intersecting planes from three linear equations.,gauss elim
"Changing 5 to 10, the plane 2u+v+w = 10 would be parallel to this one. It contains",gauss elim
"(5,0,0) and (0,10,0) and (0,0,10), twice as far from the origin—which is the center",gauss elim
"point u = 0, v = 0, w = 0. Changing the right side moves the plane parallel to itself, and",gauss elim
the plane 2u+v+w = 0 goes through the origin.,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
"The second plane is 4u − 6v = −2. It is drawn vertically, because w can take any ",gauss elim
"value. The coefﬁcient of w is zero, but this remains a plane in 3 -space. (The equation ",gauss elim
"4u = 3, or even the extreme case u = 0, would still describe a plane.) The ﬁgure shows ",gauss elim
the intersection of the second plane with the ﬁrst. That intersection is a l ine. In three ,gauss elim
dimensions a line requires two equations; in n dimensions it will require n − 1.,gauss elim
Finally the third plane intersects this line in a point. The plane (not drawn) represents ,gauss elim
"the third equation −2u+7v+2w = 9, and it crosses the line at u = 1, v = 1, w = 2. That ",gauss elim
"triple intersection point (1,1,2) solves the linear system.",gauss elim
How does this row picture extend into n dimensions? The n equations will con-,gauss elim
tain n unknowns. The ﬁrst equation still determines a “ plane.” It is no longer a two-,gauss elim
dimensional plane in 3-space; somehow it has “dimension” n − 1. It must be ﬂat and ,gauss elim
"extremely thin within n-dimensional space, although it would look solid to us.",gauss elim
"If time is the fourth dimension, then the plane t = 0 cuts through four-dimensional ",gauss elim
"space and produces the three-dimensional universe we live in (or rather, the universe as ",gauss elim
"it was at t = 0). Another plane is z = 0, which is also three-dimensional; it is the ordinary ",gauss elim
x-y plane taken over all time. Those three-dimensional planes will intersect! They share ,gauss elim
"the ordinary x-y plane at t = 0. We are down to two dimensions, and the next plane ",gauss elim
leaves a line. Finally a fourth plane leaves a single point. It is the intersection point of 4 ,gauss elim
"planes in 4 dimensions, and it solves the 4 underlying equations.",gauss elim
I will be in trouble if that example from relativity goes any further. The point is that ,gauss elim
linear algebra can operate with any number of equations. The ﬁrst equation produces an ,gauss elim
"(n − 1)-dimensional plane in n dimensions, The second plane intersects it (we hope) in ",gauss elim
"a smaller set of “dimension n − 2.” Assuming all goes well, every new plane (every new ",gauss elim
"equation) reduces the dimension by one. At the end, when all n planes are accounted ",gauss elim
"for, the intersection has dimension zero. It is a point, it lies on all the planes, and its ",gauss elim
coordinates satisfy all n equations. It is the solution!,gauss elim
Column Vectors and Linear Combinations,gauss elim
We turn to the columns. This time the vector equation (the same equation as (1)) is,gauss elim
Those are three-dimensional column vectors. The vector b is identiﬁed with the point,gauss elim
"whose coordinates are 5, −2, 9. Every point in three-dimensional space is matched to a",gauss elim
"vector, and vice versa. That was the idea of Descartes, who turned geometry into algebra",gauss elim
"by working with the coordinates of the point. We can write the vector in a column, or",gauss elim
"we can list its components as b = (5,−2,9), or we can represent it geometrically by an",gauss elim
"arrow from the origin. You can choose the arrow, or the point, or the three numbers. In",gauss elim
six dimensions it is probably easiest to choose the six numbers.,gauss elim
1.2 The Geometry of Linear Equations,gauss elim
"We use parentheses and commas when the components are listed horizontally, and",gauss elim
square brackets (with no commas) when a column vector is printed vertically. What,gauss elim
really matters is addition of vectors and multiplication by a scalar (a number). In Figure,gauss elim
"1.4a you see a vector addition, component by component:",gauss elim
In the right-hand ﬁgure there is a multiplication by 2 (and if it had been −2 the vector,gauss elim
(a) Add vectors along axes,gauss elim
columns 1 + 2,gauss elim
= linear combination equals b,gauss elim
(b) Add columns 1 + 2 + (3 + 3),gauss elim
Figure 1.4: The column picture: linear combination of columns equals b.,gauss elim
would have gone in the reverse direction):,gauss elim
Also in the right-hand ﬁgure is one of the central ideas of linear algebra. It uses both,gauss elim
of the basic operations; vectors are multiplied by numbers and then added. The result is,gauss elim
"called a linear combination, and this combination solves our equation:",gauss elim
"Equation (2) asked for multipliers u, v, w that produce the right side b. Those numbers",gauss elim
"are u = 1, v = 1, w = 2. They give the correct combination of the columns. They also",gauss elim
"gave the point (1,1,2) in the row picture (where the three planes intersect).",gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
Our true goal is to look beyond two or three dimensions into n dimensions. With n,gauss elim
"equations in n unknowns, there are n planes in the row picture. There are n vectors in",gauss elim
"the column picture, plus a vector b on the right side. The equations ask for a linear com-",gauss elim
bination of the n columns that equals b. For certain equations that will be impossible.,gauss elim
"Paradoxically, the way to understand the good case is to study the bad one. Therefore",gauss elim
"we look at the geometry exactly when it breaks down, in the singular case.",gauss elim
Row picture: Intersection of planes,gauss elim
Column picture: Combination of columns,gauss elim
"Suppose we are again in three dimensions, and the three planes in the row picture do not",gauss elim
intersect. What can go wrong? One possibility is that two planes may be parallel. The,gauss elim
equations 2u + v + w = 5 and 4u + 2v + 2w = 11 are inconsistent—and parallel planes,gauss elim
"give no solution (Figure 1.5a shows an end view). In two dimensions, parallel lines",gauss elim
are the only possibility for breakdown. But three planes in three dimensions can be in,gauss elim
trouble without being parallel.,gauss elim
"Figure 1.5: Singular cases: no solution for (a), (b), or (d), an inﬁnity of solutions for (c).",gauss elim
The most common difﬁculty is shown in Figure 1.5b. From the end view the planes,gauss elim
"form a triangle. Every pair of planes intersects in a line, and those lines are parallel. The",gauss elim
"third plane is not parallel to the other planes, but it is parallel to their line of intersection.",gauss elim
"This corresponds to a singular system with b = (2,5,6):",gauss elim
"No solution, as in Figure 1.5b",gauss elim
3u + v + 4w = 6.,gauss elim
The ﬁrst two left sides add up to the third. On the right side that fails: 2+5 ̸= 6. Equation,gauss elim
1 plus equation 2 minus equation 3 is the impossible statement 0 = 1. Thus the equations,gauss elim
"are inconsistent, as Gaussian elimination will systematically discover.",gauss elim
1.2 The Geometry of Linear Equations,gauss elim
"Another singular system, close to this one, has an inﬁnity of solutions. When the",gauss elim
"6 in the last equation becomes 7, the three equations combine to give 0 = 0. Now the",gauss elim
third equation is the sum of the ﬁrst two. In that case the three planes have a whole line,gauss elim
in common (Figure 1.5c). Changing the right sides will move the planes in Figure 1.5b,gauss elim
"parallel to themselves, and for b = (2,5,7) the ﬁgure is suddenly different. The lowest",gauss elim
"plane moved up to meet the others, and there is a line of solutions. Problem 1.5c is still",gauss elim
"singular, but now it suffers from too many solutions instead of too few.",gauss elim
The extreme case is three parallel planes. For most right sides there is no solution,gauss elim
"(Figure 1.5d). For special right sides (like b = (0,0,0)!) there is a whole plane of",gauss elim
solutions—because the three parallel planes move over to become the same.,gauss elim
What happens to the column picture when the system is singular? it has to go wrong;,gauss elim
"the question is how, There are still three columns on the left side of the equations, and",gauss elim
we try to combine them to produce b. Stay with equation (3):,gauss elim
Singular case: Column picture,gauss elim
Three columns in the same plane,gauss elim
Solvable only for b in that plane,gauss elim
"For b = (2,5,7) this was possible; for b = (2,5,6) it was not. The reason is that those",gauss elim
three columns lie in a plane. Then every combination is also in the plane (which goes,gauss elim
"through the origin). If the vector b is not in that plane, no solution is possible (Figure",gauss elim
1.6). That is by far the most likely event; a singular system generally has no solution.,gauss elim
But there is a chance that b does lie in the plane of the columns. In that case there are too,gauss elim
many solutions; the three columns can be combined in inﬁnitely many ways to produce,gauss elim
b. That column picture in Figure 1.6b corresponds to the row picture in Figure 1.5c.,gauss elim
b not in place,gauss elim
(b) inﬁnity of solutions,gauss elim
Figure 1.6: Singular cases: b outside or inside the plane with all three columns.,gauss elim
How do we know that the three columns lie in the same plane? One answer is to ﬁnd a,gauss elim
"combination of the columns that adds to zero. After some calculation, it is u = 3, v = 1,",gauss elim
w = −2. Three times column 1 equals column 2 plus twice column 3. Column 1 is in,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
the plane of columns 2 and 3. Only two columns are independent.,gauss elim
"The vector b = (2,5,7) is in that plane of the columns—it is column 1 plus column",gauss elim
"3—so (1, 0, 1) is a solution. We can add an multiple of the combination (3,−1,−2) that",gauss elim
gives b = 0. So there is a whole line of solutions—as we know from the row picture.,gauss elim
"The truth is that we knew the columns would combine to give zero, because the rows",gauss elim
"did. That is a fact of mathematics, not of computation—and it remains true in dimension",gauss elim
"n. If the n planes have no point in common, or inﬁnitely many points, then the n",gauss elim
columns lie in the same plane.,gauss elim
"If the row picture breaks down, so does the column picture. That brings out the",gauss elim
difference between Chapter 1 and Chapter 2. This chapter studies the most important,gauss elim
problem—the nonsingular case—where there is one solution and it has to be found.,gauss elim
"Chapter 2 studies the general case, where there may be many solutions or none. In",gauss elim
both cases we cannot continue without a decent notation (matrix notation) and a decent,gauss elim
"algorithm (elimination). After the exercises, we start with elimination.",gauss elim
"1. For the equations x + y = 4, 2x − 2y = 4, draw the row picture (two intersecting",gauss elim
lines) and the column picture (combination of two columns equal to the column,gauss elim
"vector (4,4) on the right side).",gauss elim
2. Solve to ﬁnd a combination of the columns that equals b:,gauss elim
u − v − w =,gauss elim
v + w =,gauss elim
3. (Recommended) Describe the intersection of the three planes u+v+w+z = 6 and,gauss elim
u+w+z = 4 and u+w = 2 (all in four-dimensional space). Is it a line or a point or,gauss elim
an empty set? What is the intersection if the fourth plane u = −1 is included? Find,gauss elim
a fourth equation that leaves us with no solution.,gauss elim
4. Sketch these three lines and decide if the equations are solvable:,gauss elim
3 by 2 system,gauss elim
x + 2y =,gauss elim
What happens if all right-hand sides are zero? Is there any nonzero choice of right-,gauss elim
hand sides that allows the three lines to intersect at the same point?,gauss elim
5. Find two points on the line of intersection of the three planes t = 0 and z = 0 and,gauss elim
x+y+z+t = 1 in four-dimensional space.,gauss elim
1.2 The Geometry of Linear Equations,gauss elim
"6. When b = (2,5,7), ﬁnd a solution (u,v,w) to equation (4) different from the solution",gauss elim
"(1,0,1) mentioned in the text.",gauss elim
"7. Give two more right-hand sides in addition to b = (2,5,7) for which equation (4)",gauss elim
"can be solved. Give two more right-hand sides in addition to b = (2,5,6) for which",gauss elim
it cannot be solved.,gauss elim
8. Explain why the system,gauss elim
u + 2v + 3w = 1,gauss elim
+ 2w = 0,gauss elim
is singular by ﬁnding a combination of the three equations that adds up to 0 = 1.,gauss elim
What value should replace the last zero on the right side to allow the equations to,gauss elim
have solutions—and what is one of the solutions?,gauss elim
9. The column picture for the previous exercise (singular system) is,gauss elim
Show that the three columns on the left lie in the same plane by expressing the third,gauss elim
"column as a combination of the ﬁrst two. What are all the solutions (u,v,w) if b is",gauss elim
"the zero vector (0,0,0)?",gauss elim
"10. (Recommended) Under what condition on y1, y2, y3 do the points (0,y1), (1,y2),",gauss elim
"(2,y3) lie on a straight line?",gauss elim
11. These equations are certain to have the solution x = y = 0. For which values of a is,gauss elim
there a whole line of solutions?,gauss elim
ax + 2y = 0,gauss elim
2x + ay = 0,gauss elim
"12. Starting with x+4y = 7, ﬁnd the equation for the parallel line through x = 0, y = 0.",gauss elim
"Find the equation of another line that meets the ﬁrst at x = 3, y = 1.",gauss elim
Problems 13–15 are a review of the row and column pictures.,gauss elim
"13. Draw the two pictures in two planes for the equations x−2y = 0, x+y = 6.",gauss elim
"14. For two linear equations in three unknowns x, y, z, the row picture will show (2 or 3)",gauss elim
(lines or planes) in (two or three)-dimensional space. The column picture is in (two,gauss elim
or three)-dimensional space. The solutions normally lie on a,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
"15. For four linear equations in two unknowns x and y, the row picture shows four",gauss elim
. The column picture is in,gauss elim
-dimensional space. The equations have no,gauss elim
solution unless the vector on the right-hand side is a combination of,gauss elim
16. Find a point with z = 2 on the intersection line of the planes x + y + 3z = 6 and,gauss elim
x−y+z = 4. Find the point with z = 0 and a third point halfway between.,gauss elim
17. The ﬁrst of these equations plus the second equals the third:,gauss elim
2x + 3y + 2z = 5.,gauss elim
"The ﬁrst two planes meet along a line. The third plane contains that line, because",gauss elim
"if x, y, z satisfy the ﬁrst two equations then they also",gauss elim
. The equations have,gauss elim
inﬁnitely many solutions (the whole line L). Find three solutions.,gauss elim
18. Move the third plane in Problem 17 to a parallel plane 2x + 3y + 2z = 9. Now the,gauss elim
three equations have no solution—why not? The ﬁrst two planes meet along the line,gauss elim
"L, but the third plane doesn’t",gauss elim
"19. In Problem 17 the columns are (1,1,2) and (1,2,3) and (1,1,2). This is a “singular",gauss elim
case” because the third column is,gauss elim
. Find two combinations of the columns,gauss elim
"that give b = (2,3,5). This is only possible for b = (4,6,c) if c =",gauss elim
20. Normally 4 “planes” in four-dimensional space meet at a,gauss elim
. Normally 4 col-,gauss elim
umn vectors in four-dimensional space can combine to produce b. What combina-,gauss elim
"tion of (1,0,0,0), (1,1,0,0), (1,1,1,0), (1,1,1,1) produces b = (3,3,3,2)? What 4",gauss elim
"equations for x, y, z, t are you solving?",gauss elim
"21. When equation 1 is added to equation 2, which of these are changed: the planes in",gauss elim
"the row picture, the column picture, the coefﬁcient matrix, the solution?",gauss elim
"22. If (a,b) is a multiple of (c,d) with abcd ̸= 0, show that (a,c) is a multiple of (b,d).",gauss elim
This is surprisingly important: call it a challenge question. You could use numbers,gauss elim
"ﬁrst to see how a, b, c, and d are related. The question will lead to:",gauss elim
has dependent rows then it has dependent columns.,gauss elim
"23. In these equations, the third column (multiplying w) is the same as the right side b.",gauss elim
"The column form of the equations immediately gives what solution for (u,v,w)?",gauss elim
6u + 7v + 8w =,gauss elim
4u + 5v + 9w =,gauss elim
2u − 2v + 7w = 7.,gauss elim
1.3 An Example of Gaussian Elimination,gauss elim
An Example of Gaussian Elimination,gauss elim
The way to understand elimination is by example. We begin in three dimensions:,gauss elim
−2u + 7v + 2w =,gauss elim
"The problem is to ﬁnd the unknown values of u, v, and w, and we shall apply Gaussian",gauss elim
"elimination. (Gauss is recognized as the greatest of all mathematicians, but certainly not",gauss elim
"because of this invention, which probably took him ten minutes. Ironically, it is the most",gauss elim
frequently used of all the ideas that bear his name.) The method starts by subtracting,gauss elim
multiples of the ﬁrst equation from the other equations. The goal is to eliminate u from,gauss elim
the last two equations. This requires that we,gauss elim
(a) subtract 2 times the ﬁrst equation from the second,gauss elim
(b) subtract −1 times the ﬁrst equation from the third.,gauss elim
− 8v − 2w = −12,gauss elim
8v + 3w =,gauss elim
The coefﬁcient 2 is the ﬁrst pivot. Elimination is constantly dividing the pivot into the,gauss elim
"numbers underneath it, to ﬁnd out the right multipliers.",gauss elim
The pivot for the second stage of elimination is −8. We now ignore the ﬁrst equation.,gauss elim
A multiple of the second equation will be subtracted from the remaining equations (in,gauss elim
this case there is only the third one) so as to eliminate v. We add the second equation to,gauss elim
"the third or, in other words, we",gauss elim
(c) subtract −1 times the second equation from the third.,gauss elim
"The elimination process is now complete, at least in the “forward” direction:",gauss elim
− 8v − 2w = −12,gauss elim
"This system is solved backward, bottom to top. The last equation gives w = 2. Sub-",gauss elim
"stituting into the second equation, we ﬁnd v = 1. Then the ﬁrst equation gives u = 1.",gauss elim
This process is called back-substitution.,gauss elim
"To repeat: Forward elimination produced the pivots 2, −8, 1. It subtracted multiples",gauss elim
"of each row from the rows beneath, It reached the “triangular” system (3), which is",gauss elim
solved in reverse order: Substitute each newly computed value into the equations that,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
Remark. One good way to write down the forward elimination steps is to include the,gauss elim
right-hand side as an extra column. There is no need to copy u and v and w and = at,gauss elim
"every step, so we are left with the bare minimum:",gauss elim
0 −8 −2 −12,gauss elim
0 −8 −2 −12,gauss elim
"At the end is the triangular system, ready for back-substitution. You may prefer this",gauss elim
"arrangement, which guarantees that operations on the left-hand side of the equations are",gauss elim
also done on the right-hand side—because both sides are there together.,gauss elim
"In a larger problem, forward elimination takes most of the effort. We use multiples",gauss elim
of the ﬁrst equation to produce zeros below the ﬁrst pivot. Then the second column is,gauss elim
cleared out below the second pivot. The forward step is ﬁnished when the system is,gauss elim
triangular; equation n contains only the last unknown multiplied by the last pivot. Back-,gauss elim
substitution yields the complete solution in the opposite order—beginning with the last,gauss elim
"unknown, then solving for the next to last, and eventually for the ﬁrst.",gauss elim
"By deﬁnition, pivots cannot be zero. We need to divide by them.",gauss elim
The Breakdown of Elimination,gauss elim
Under what circumstances could the process break down? Something must go wrong,gauss elim
"in the singular case, and something might go wrong in the nonsingular case. This may",gauss elim
"seem a little premature—after all, we have barely got the algorithm working. But the",gauss elim
possibility of breakdown sheds light on the method itself.,gauss elim
"The answer is: With a full set of n pivots, there is only one solution. The system is",gauss elim
"non singular, and it is solved by forward elimination and back-substitution. But if a zero",gauss elim
"appears in a pivot position, elimination has to stop—either temporarily or permanently.",gauss elim
The system might or might not be singular.,gauss elim
"If the ﬁrst coefﬁcient is zero, in the upper left corner, the elimination of u from the",gauss elim
other equations will be impossible. The same is true at every intermediate stage. Notice,gauss elim
"that a zero can appear in a pivot position, even if the original coefﬁcient in that place",gauss elim
"was not zero. Roughly speaking, we do not know whether a zero will appear until we",gauss elim
"try, by actually going through the elimination process.",gauss elim
"In many cases this problem can be cured, and elimination can proceed. Such a system",gauss elim
still counts as nonsingular; it is only the algorithm that needs repair. In other cases a,gauss elim
"breakdown is unavoidable. Those incurable systems are singular, they have no solution",gauss elim
"or else inﬁnitely many, and a full set of pivots cannot be found.",gauss elim
1.3 An Example of Gaussian Elimination,gauss elim
Example 1. Nonsingular (cured by exchanging equations 2 and 3),gauss elim
2u + 2v + 5w =,gauss elim
4u + 6v + 8w =,gauss elim
2v + 4w =,gauss elim
2v + 4w =,gauss elim
"The system is now triangular, and back-substitution will solve it.",gauss elim
Example 2. Singular (incurable),gauss elim
2u + 2v + 5w =,gauss elim
4u + 4v + 8w =,gauss elim
u + v +,gauss elim
There is no exchange of equations that can avoid zero in the second pivot position. The,gauss elim
equations themselves may be solvable or unsolvable. If the last two equations are 3w = 6,gauss elim
"and 4w = 7, there is no solution. If those two equations happen to be consistent—as in",gauss elim
3w = 6 and 4w = 8—then this singular case has an inﬁnity of solutions. We know that,gauss elim
"w = 2, but the ﬁrst equation cannot decide both u and v.",gauss elim
Section 1.5 will discuss row exchanges when the system is not singular. Then the,gauss elim
"exchanges produce a full set of pivots. Chapter 2 admits the singular case, and limps",gauss elim
"forward with elimination. The 3w can still eliminate the 4w, and we will call 3 the",gauss elim
second pivot. (There won’t be a third pivot.) For the present we trust all n pivot entries,gauss elim
"to be nonzero, without changing the order of the equations. That is the best case, with",gauss elim
The Cost of Elimination,gauss elim
Our other question is very practical. How many separate arithmetical operations does,gauss elim
"elimination require, for n equations in n unknowns? If n is large, a computer is going to",gauss elim
"take our place in carrying out the elimination. Since all the steps are known, we should",gauss elim
be able to predict the number of operations.,gauss elim
"For the moment, ignore the right-hand sides of the equations, and count only the",gauss elim
operations on the left. These operations are of two kinds. We divide by the pivot to,gauss elim
ﬁnd out what multiple (say ℓ) of the pivot equation is to be subtracted. When we do,gauss elim
"this subtraction, we continually meet a “multiply-subtract” combination; the terms in",gauss elim
"the pivot equation are multiplied by ℓ, and then subtracted from another equation.",gauss elim
"Suppose we call each division, and each multiplication-subtraction, one operation. In",gauss elim
"column 1, it takes n operations for every zero we achieve—one to ﬁnd the multiple ℓ,",gauss elim
and the other to ﬁnd the new entries along the row. There are n−1 rows underneath the,gauss elim
"ﬁrst one, so the ﬁrst stage of elimination needs n(n − 1) = n2 − n operations. (Another",gauss elim
"approach to n2 − n is this: All n2 entries need to be changed, except the n in the ﬁrst",gauss elim
row.) Later stages are faster because the equations are shorter.,gauss elim
Chapter 1 Matrices and Gaussian Elimination,gauss elim
"When the elimination is down to k equations, only k2 − k operations are needed to",gauss elim
clear out the column below the pivot—by the same reasoning that applied to the ﬁrst,gauss elim
"stage, when k equaled n. Altogether, the total number of operations is the sum of k2 −k",gauss elim
over all values of k from 1 to n:,gauss elim
(12 +···+n2)−(1+···+n) = n(n+1)(2n+1),gauss elim
Those are standard formulas for the sums of the ﬁrst n numbers and the ﬁrst n squares.,gauss elim
Substituting n = 1 and n = 2 and n = 100 into the formula 1,gauss elim
can take no steps or two steps or about a third of a million steps:,gauss elim
"If n is at all large, a good estimate for the number of operations is 1",gauss elim
"If the size is doubled, and few of the coefﬁcients are zero, the cost is multiplied by 8.",gauss elim
Back-substitution is considerably faster. The last unknown is found in only one oper-,gauss elim
"ation (a division by the last pivot). The second to last unknown requires two operations,",gauss elim
